S09162	Ullerødgård; 010508-21	Zealand	55.940	12.262	Denmark	\N	\N	\N	2024-03-19 11:04:37	helene@localhost
S10963	Ostrovul Mare-Humca; Hunca-Ogaşu Băieşului; Ostrov	Caraş-Severin County	44.734	21.673	Romania	\N	2022-05-16 14:09:24	jelena@localhost	2023-08-01 07:28:33	jelena@localhost
S05099	Piesenkofen	\N	48.962	12.145	Germany	\N	\N	\N	2023-04-20 14:05:31	Rscripts@localhost
S11487	Мирополье; Miropolie	Cherkasy region(Черкаська область)	49.384	31.329	Ukraine	Approximate location	2023-02-06 12:55:20	natalya@localhost	2023-02-06 12:55:20	natalya@localhost
S04088	Uskmouth	\N	51.533	-2.970	Great Britain	\N	\N	\N	2023-04-20 14:05:30	Rscripts@localhost
S03093	Narbons	\N	43.400	1.650	France	\N	\N	\N	2022-12-13 12:35:06	sam@localhost
S03724	Sembrancher - Crétaz Polet	\N	46.079	7.146	Switzerland	\N	\N	\N	\N	\N
S12659	Tiszalők	Szabolcs-Szatmár-Bereg county	48.003	21.384	Hungary	location of the town	2023-07-18 12:12:49	jelena@localhost	2023-07-18 12:12:49	jelena@localhost
S08055	Lollikehuse; Lollikhuse; 010206-77	\N	55.750	12.020	Denmark	\N	\N	\N	2024-03-19 15:03:38	helene@localhost
S03458	Remoulins grotte de la Salpetriere	\N	43.949	4.537	France	\N	\N	\N	\N	\N
S11305	Fannerup D; 140105-71	Jutland	56.401	10.715	Denmark	\N	2022-11-25 13:18:51	robert@localhost	2024-03-15 13:04:28	helene@localhost
S11049	Canhasan III	\N	37.500	33.500	Türkiye	Google Earth within 5km	2022-06-02 11:47:12	emily@localhost	2023-04-20 15:29:15	Rscripts@localhost
S04239	Wittislingen	\N	48.610	10.410	Germany	\N	\N	\N	\N	\N
S11373	Kouveleiki	\N	36.954	22.765	Greece	nearest town	2023-01-09 14:44:02	emily@localhost	2023-01-09 14:44:02	emily@localhost
S02862	Lugasson, Roquefort	\N	44.750	-0.160	France	\N	\N	\N	\N	\N
S01300	Bilzingsleben	\N	51.281	11.068	Germany	\N	\N	\N	\N	\N
S12684	Nagyrév-Zsidóhalom; Nagyrév-Zsidó-halom	Jász-Nagykun-Szolnok county	46.921	20.196	Hungary	\N	2023-07-19 14:27:29	jelena@localhost	2023-07-19 14:27:29	jelena@localhost
S20849	Cemetério dos Remédios	\N	38.570	-7.920	Portugal	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S10688	Sandhuse	\N	55.267	12.109	Denmark	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S20397	Zandvoort-Waterleidingduinen	Noord-Holland Province	52.378	4.544	Netherlands	based on the publication groot2024a (not exact location)	2024-07-09 13:19:34	jelena@localhost	2024-07-16 13:40:45	jelena@localhost
S02156	Guttenbrunn	\N	48.750	16.580	Austria	\N	\N	\N	\N	\N
S08082	Mosegården	\N	57.032	10.257	Denmark	\N	\N	\N	\N	\N
S07443	Frauenmark	\N	53.533	11.783	Germany	\N	\N	\N	\N	\N
S10693	Sremski Karlovci; Сремски Карловци; Sremski Karlovci, lokalitet Sonje Marinković; Сремски Карловци, локалитет Соње Маринковић	\N	45.204	19.930	Serbia	\N	2022-04-08 16:28:21	jelena@macelab-server.biochem.ucl.ac.uk	2022-04-08 17:28:21	jelena@macelab-server.biochem.ucl.ac.uk
S13126	Тополница; Topolnica	\N	41.383	23.250	Bulgaria	\N	2024-02-12 20:28:19	jan@localhost	2024-02-14 08:33:17	jelena@localhost
S11468	Elkenøre; 070205-91	Falster	54.732	11.986	Denmark	\N	2023-01-30 15:54:37	robert@localhost	2024-03-19 14:04:13	helene@localhost
S12069	Balladoole	Isle of Man	54.092	-4.675	Isle of Man	\N	2023-04-27 13:45:48	sam@localhost	2023-07-24 14:45:53	robert@localhost
S11773	Moravský Krumlov - Krumlovský les I	Znojmo	49.029	16.396	Czechia / Czech Republic	\N	2023-03-01 10:50:32	jan@localhost	2023-03-07 14:45:25	jan@localhost
S10999	Tăcuta-Saivane	Vaslui County	46.922	27.687	Romania	\N	2022-05-17 11:52:57	jelena@localhost	2023-07-26 06:44:17	jelena@localhost
S04637	Barleben "Hühnerfarm"	\N	52.200	11.610	Germany	\N	\N	\N	\N	\N
S12953	Letenye-Szentkeresztdomb	\N	46.426	16.709	Hungary	\N	2023-09-11 17:31:09	jan@localhost	2023-09-11 17:31:09	jan@localhost
S12617	Castelnaudary "Quinquiris"	Aude	43.296	1.962	France	\N	2023-06-21 08:36:16	robert@localhost	2023-06-21 08:36:16	robert@localhost
S06259	Carneddau	\N	52.585	-3.492	Great Britain	\N	\N	\N	\N	\N
S10417	Essenbach "Ammerbreite"	\N	48.617	12.217	Germany	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S03587	Saint Come et Maruejols Bois Sacre	Occitanie	43.830	4.200	France	\N	\N	\N	2024-08-12 15:43:39	fredrik@localhost
S13118	Свиленград; Svilengrad	\N	41.751	26.219	Bulgaria	\N	2024-02-06 15:27:06	jan@localhost	2024-02-07 12:51:29	jelena@localhost
S01000	Pierre Folle	\N	47.510	6.800	France	\N	2022-06-30 15:28:41	robert@localhost	2025-07-28 10:56:40	samantha_scott_reiter@localhost
S07229	Shanco	\N	54.003	-6.832	Ireland	\N	\N	\N	\N	\N
S01754	Duderstadt	\N	51.510	10.250	Germany	\N	\N	\N	\N	\N
S03846	St. Léonard	\N	46.255	7.418	Switzerland	\N	\N	\N	\N	\N
S11774	Nezabylice – U pískovny	Chomutov	50.412	13.498	Czechia / Czech Republic	\N	2023-03-01 12:59:49	jan@localhost	2023-03-07 14:45:25	jan@localhost
S10590	Kompolje	\N	44.918	15.154	Croatia	\N	2022-04-01 09:27:54	jelena@localhost	2022-04-01 10:27:54	jelena@localhost
S04646	Bergschenhoek	\N	51.990	4.510	Netherlands	\N	\N	\N	\N	\N
S01328	BOISDICHON GROTTE DE	\N	46.687	0.886	France	\N	\N	\N	\N	\N
S07908	Fannerup	\N	56.400	10.713	Denmark	\N	\N	\N	\N	\N
S12097	Rossnaree	\N	53.690	-6.503	Ireland	\N	2023-04-27 13:45:48	sam@localhost	2023-04-28 07:15:06	Rscripts@localhost
S02472	La Belloire	\N	45.680	-0.170	France	\N	\N	\N	2024-10-21 11:03:15	jelena@localhost
S06912	Cloonlara	\N	52.724	-8.551	Ireland	\N	\N	\N	\N	\N
S12076	Eastbourne	Kent and East Sussex	50.769	0.285	Great Britain	\N	2023-04-27 13:45:48	sam@localhost	2023-07-24 14:44:22	robert@localhost
S10528	Dunaújváros-Duna-dűlő	\N	46.942	18.934	Hungary	Within 10m	2022-03-22 11:25:50	robert@localhost	2024-10-30 10:41:17	jan@localhost
S20520	Tiel-Medel Krommewei	Gelderland Province	51.912	5.460	Netherlands	based on the publication groot2024a (not exact location)	2024-07-19 13:48:27	jelena@localhost	2024-07-19 13:48:27	jelena@localhost
S06179	Aston Mill	\N	52.009	-0.624	Great Britain	\N	\N	\N	\N	\N
S11071	Mediaş-Cetate	\N	46.164	24.350	Romania	within 1 km	2022-06-06 08:32:01	jelena@localhost	2022-06-06 09:32:01	jelena@localhost
S21028	Součkova cihelna	Plotiště nad Labem	50.230	15.803	Czechia / Czech Republic	Aproximate location	2025-07-17 11:46:47	yuzhen_li@localhost	2025-07-17 11:46:47	yuzhen_li@localhost
S06390	Great Ayton Moor	\N	54.495	-1.083	Great Britain	\N	\N	\N	\N	\N
S08955	Anse de la République	Pays de la Loire	46.460	-1.610	France	\N	\N	\N	2024-08-12 17:01:00	fredrik@localhost
S11391	Подгорица; Podgoritsa; Podgorica	\N	43.324	26.451	Bulgaria	position asumed (approximate location) by maps/figures in publications	2023-01-11 12:29:46	jelena@localhost	2024-05-29 15:48:14	natalya@localhost
S20288	Dodewaard	Gelderland Province	51.910	5.660	Netherlands	based on the publication groot2024a (not exact location)	2024-07-02 13:28:10	jelena@localhost	2024-07-16 12:06:06	jelena@localhost
S07009	Fourknocks	\N	53.596	-6.325	Ireland	\N	\N	\N	\N	\N
S09036	Velzic – Les Baraquettes	\N	44.980	2.530	France	\N	\N	\N	\N	\N
S01581	Comboire	\N	45.133	5.683	France	\N	\N	\N	2024-10-21 11:02:36	jelena@localhost
S07920	Fuglsang	\N	56.236	9.932	Denmark	\N	\N	\N	\N	\N
S11098	Zamostje 2; Замостье 2	\N	56.678	38.012	Russia	\N	2022-06-23 21:27:34	claudia@localhost	2022-10-17 11:37:07	robert@localhost
S02027	Glenvoidean	\N	55.886	-5.203	Great Britain	\N	\N	\N	\N	\N
S03631	SAINTE LUCE	\N	44.300	5.350	France	\N	\N	\N	\N	\N
S09033	Thennes – Le Grand Marais	\N	49.800	2.467	France	\N	\N	\N	\N	\N
S06891	Cloghskelt	\N	54.298	-6.097	Ireland	\N	\N	\N	\N	\N
S12674	Tiszalúc-Sarkad; Sarkadpuszta	Borsod-Abaúj-Zemplén county	48.031	21.028	Hungary	location of the village	2023-07-18 14:11:45	jelena@localhost	2024-10-03 16:45:12	jan@localhost
S04534	Mull Hill Circle	Isle of Man	54.150	-4.483	Isle of Man	\N	\N	\N	2023-07-24 14:45:54	robert@localhost
S07881	Brunna/Ekeby	\N	59.853	17.449	Sweden	\N	\N	\N	\N	\N
S04218	Westelbeers	\N	51.441	5.213	Netherlands	\N	\N	\N	\N	\N
S11249	Kvia-Motland	\N	58.655	5.633	Norway	\N	2022-09-29 09:42:09	claudia@localhost	2022-09-29 09:42:09	claudia@localhost
S10289	Orăştie-Dealul Pemilor	\N	45.861	23.219	Romania	\N	2022-01-25 12:22:59	jelena@localhost	2023-07-11 09:33:10	jelena@localhost
S08185	Tingbjerggård Mose; 030318-311	Zealand	55.591	11.576	Denmark	\N	\N	\N	2024-03-19 14:20:11	helene@localhost
S04667	Caythorpe	\N	54.095	-0.286	Great Britain	\N	\N	\N	\N	\N
S06175	Ashcott Heath	\N	51.165	-2.822	Great Britain	\N	\N	\N	\N	\N
S08818	Goulet « Le Mont »	\N	48.733	-0.083	France	\N	\N	\N	\N	\N
S06171	Appleby	\N	53.598	-0.525	Great Britain	\N	\N	\N	\N	\N
S02043	Gornies le Claux	\N	43.890	3.630	France	\N	\N	\N	\N	\N
S08159	Sørbylille I; 040316-12	Zealand	55.350	11.411	Denmark	\N	\N	\N	2024-03-19 11:03:02	helene@localhost
S04274	Zarębowo; Zarebowo	\N	52.745	18.585	Poland	\N	\N	\N	2023-09-14 16:20:25	robert@localhost
S10729	Stari Mikanovci-Damića Gradina	\N	45.284	18.558	Croatia	\N	2022-04-13 15:34:51	jelena@macelab-server.biochem.ucl.ac.uk	2023-04-20 14:44:13	Rscripts@localhost
S06480	Longstone Field	\N	51.732	-5.117	Great Britain	\N	\N	\N	\N	\N
S12924	Waging am See	\N	47.930	12.730	Germany	Exact location in publication	2023-08-23 08:48:16	sam@localhost	2023-08-23 08:48:16	sam@localhost
S11336	Sakhtysh II; Sakhtysh IIа; Sakhtysh VIIIа; Сахтыш II; Сахтыш Iiа; Сахтыш VIIIа	\N	56.780	40.447	Russia	\N	2022-11-25 13:18:51	robert@localhost	2022-11-25 13:18:51	robert@localhost
S07308	Jandrain-Jandrenouille	\N	50.674	4.980	Belgium	\N	\N	\N	\N	\N
S10030	Manching-Oberstimm	\N	48.711	11.453	Germany	\N	2021-12-13 15:13:17	robert@localhost	2021-12-13 15:13:17	robert@localhost
S20712	Tápé-Széntéglaégető	\N	46.261	20.194	Hungary	location of the village	2024-10-24 15:50:47	jan@localhost	2024-10-24 15:50:47	jan@localhost
S02644	LE CROQUET	\N	49.560	0.120	France	\N	\N	\N	\N	\N
S20831	Chabola de la Hechicera	\N	42.570	-2.550	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S07701	Komorniki 42	\N	51.717	19.493	Poland	\N	\N	\N	\N	\N
S12844	Houten-Loerik 21	Utrecht Province	52.020	5.180	Netherlands	based on the publication groot2024a (not exact location)	2024-11-06 11:51:00	jelena@localhost	2024-11-06 11:51:04	jelena@localhost
S07146	Maughanasilly	\N	51.771	-9.386	Ireland	\N	\N	\N	\N	\N
S01577	Combe Greze	\N	44.170	3.170	France	\N	\N	\N	\N	\N
S02051	Göteborg 23:856	\N	57.710	11.967	Sweden	\N	\N	\N	\N	\N
S06344	East Heslerton Wold	\N	54.165	-0.563	Great Britain	\N	\N	\N	\N	\N
S06391	Great Carn	\N	51.593	-4.180	Great Britain	\N	\N	\N	\N	\N
S09023	Saint-Gelais – Derrière La Garenne du Coteau	\N	46.350	-0.440	France	\N	\N	\N	\N	\N
S01384	Brunau	\N	52.740	11.470	Germany	\N	\N	\N	\N	\N
S03860	Starr Carr	\N	54.213	-0.424	Great Britain	\N	\N	\N	\N	\N
S01335	Bonnieux grotte Saint Gervais	\N	43.829	5.300	France	\N	\N	\N	\N	\N
S01287	Best	\N	51.510	5.400	Netherlands	\N	\N	\N	\N	\N
S20658	Unar 1; Shimal	\N	25.828	56.024	United Arab Emirates	Location approximate only; within 10 km	2024-10-15 11:47:33	sam@localhost	2024-10-15 11:47:33	sam@localhost
S11332	Ravnsbjerggård II; Rygård; 030318-54	Zealand	55.581	11.578	Denmark	\N	2022-11-25 13:18:51	robert@localhost	2024-03-19 14:19:48	helene@localhost
S11116	Chens-sur-Léman-Pré d'Ancy-Véreitre	\N	46.317	6.266	France	point between the two areas (Pré d'Ancy, Véreitre) of the same site (Chens-sur-Léman)	2022-06-30 10:59:03	claudia@localhost	2022-06-30 11:59:03	claudia@localhost
S20523	Utrecht-Leidsche Rijn 58	Utrecht Province	52.098	5.040	Netherlands	based on the publication groot2024a (not exact location)	2024-07-19 13:48:27	jelena@localhost	2024-07-19 13:48:27	jelena@localhost
S10603	Donja Dolina	\N	45.135	17.393	Bosnia and Herzegovina	\N	2022-04-08 10:01:49	jelena@macelab-server.biochem.ucl.ac.uk	2022-04-08 11:01:49	jelena@macelab-server.biochem.ucl.ac.uk
S06405	Gwithian	\N	50.230	-5.380	Great Britain	\N	\N	\N	\N	\N
S06176	Ashgrove Farm	\N	56.187	-3.044	Great Britain	\N	\N	\N	\N	\N
S12655	Borsod-Derekegyházi-dűlő; Borsod-Derékegyháza	Borsod-Abaúj-Zemplén county	48.325	20.713	Hungary	location of the town	2023-07-18 12:12:49	jelena@localhost	2023-07-18 12:12:49	jelena@localhost
S10582	Dragišić	\N	43.798	15.707	Croatia	within 3 km	2022-04-01 09:27:54	jelena@localhost	2022-04-01 10:27:54	jelena@localhost
S01467	CARREFOUR DE GEVRY	\N	47.020	5.450	France	\N	\N	\N	\N	\N
S06579	Rook Hall	\N	51.746	0.721	Great Britain	\N	\N	\N	\N	\N
S08892	Østerskov Å	\N	54.797	10.744	Denmark	the site is in the SE part of Langeland east of Tryggelev; ceramic finds date the site to the TRB MNIA; archaeobotany: the study was concentrated around the sunken house L (destroyed by burning) and the adjacent pit AK; a total of 12 samples each of 10L was taken by the excavator from the bottom layer in house L and from layers in pit AK; the samples (or smaller subsamples) were processed by flotation (bucket) on a 0.5mm mesh - the heavy residues were sieved on 2.0, 1.0, 0.5 mm meshes; R&W note that most of the plant remains were recovered from the residues rather than the flots largely due to the clay content in the samples; a majority of the plant remains are charred with very few uncharred specimens - R&W exclude these from any discussions and consider them as contaminants [most of the plant remains are in the samples from the pit]	\N	\N	\N	\N
S20941	Petrivente-Újkúti-dulo; Petrivente-Újkúti dűlő	\N	46.459	16.833	Hungary	\N	2025-01-30 08:13:49	jan@localhost	2025-08-29 16:17:29	natalia_riabogina@localhost
S11354	Bestamak; Бестамак	\N	52.166	64.533	Kazakhstan	\N	2022-11-29 10:14:32	robert@localhost	2022-11-29 10:14:58	robert@localhost
S10900	Kõljala	\N	58.210	22.432	Estonia	\N	2022-05-09 13:47:23	robert@localhost	2022-05-09 14:47:23	robert@localhost
S08016	Kokkedalsmark	\N	57.060	9.459	Denmark	\N	\N	\N	\N	\N
S05027	Thieusis	\N	50.520	4.050	Belgium	\N	\N	\N	\N	\N
S10336	Zlatara-Ruma; Златара-Рума	\N	44.971	19.790	Serbia	within 5 km radius	2022-01-27 09:42:02	jelena@localhost	2023-04-20 14:44:07	Rscripts@localhost
S06658	Tollesbury	\N	51.737	0.811	Great Britain	\N	\N	\N	\N	\N
S12121	Løvøy, Steigen	Nordland	67.838	14.768	Norway	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S20954	Herstal - Pré Wigier; Herstal	\N	50.683	5.642	Belgium	Location in publication	2025-01-31 12:26:07	sam@localhost	2025-04-06 13:40:24	biad@localhost
S13122	Dobrinišče	\N	41.830	23.560	Bulgaria	\N	2024-02-09 17:34:35	jan@localhost	2024-02-09 17:34:35	jan@localhost
S09005	Moulins-sur-Céphons – Les Vaux	\N	47.010	1.590	France	\N	\N	\N	\N	\N
S13287	Stična; Vir pri Stični	\N	45.941	14.820	Slovenia	barrow cemetery next to the IA hillfort Cvinger	2024-05-21 11:03:23	jan@localhost	2024-05-21 11:03:23	jan@localhost
S13224	Ørvadgård; 150601-12	Jutland	56.224	10.231	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S10668	Le Déhus	Guernsey	49.814	-3.627	Guernsey	\N	2022-04-08 13:50:10	maria@localhost	2023-07-24 14:46:17	robert@localhost
S09190	Castle Hill Devon	\N	50.782	-3.265	Great Britain	the site is located in Devon on the lower slopes of Castle Hill to the NW of Skinner's Ash Farm; more precisely it is on a SE facing slope to the NW of the River Otter near Fenny Bridges - archaeological evidence (LN, EBA, MBA, LBA) extended across a considerable area; excavations between April-October 1997 were carried out in advance of the construction of the A30 improvement; the site was divided into 3 areas (8A, B, C) of which 8A was the main focus for the excavation - total are investigated was 14,443 m2; the area was dominated by 2 LN enclosures (218, 219 - delineated by ditches) and an MBA enclosure (5026) and extensive field system; Beaker pottery was recovered from 5 features: 2 small pits (/large post-holes) in the E of the site (1551, 1555); pit 609, which cut the N ditch of the enclosure; post-hole 7; and from a large tree-throw hole 1602; archaeobotany: all remains were charred - samples were taken from the lower fills of pits 1555, and from pit 609, and post-hole 18; Clapham notes that preservation of the material was generally good; standard sample size was 15L - all samples were processed by flotation (machine and bucket) mesh size: 0.5mm	\N	\N	\N	\N
S03838	St Domerarve	\N	57.170	18.260	Sweden	\N	\N	\N	\N	\N
S11974	Grotte Murée	Provence	48.080	-0.633	France	\N	2023-03-29 16:53:19	lea@localhost	2023-03-29 16:53:19	lea@localhost
S02787	Les ROCS	\N	46.733	0.533	France	\N	\N	\N	\N	\N
S20405	Vleuterweide-Wilhelminalaan	Utrecht Province	52.092	5.117	Netherlands	based on the publication groot2024a (not exact location)	2024-07-11 12:40:09	jelena@localhost	2024-07-16 13:40:16	jelena@localhost
S11533	Тарпанчи; Tarpanchi	Crimean peninsula (полуостров Крым)	45.370	32.776	Ukraine	\N	2023-02-13 17:30:53	natalya@localhost	2023-02-13 17:30:53	natalya@localhost
S02688	LE ROUICK	\N	47.567	-2.967	France	\N	\N	\N	\N	\N
S07217	Ross Island	\N	52.033	-9.545	Ireland	\N	\N	\N	\N	\N
S11491	Зюбриха; Zyubricha	Cherkasy region(Черкаська область)	49.098	30.018	Ukraine	Approximate location	2023-02-06 12:55:20	natalya@localhost	2023-02-06 12:55:20	natalya@localhost
S13036	Rastuša	\N	44.420	17.590	Bosnia and Herzegovina	\N	2023-11-13 17:36:06	jan@localhost	2023-11-13 17:36:06	jan@localhost
S10779	Pogorăşti	\N	47.580	27.225	Romania	\N	2022-04-28 18:33:54	jelena@localhost	2022-04-28 19:33:54	jelena@localhost
S10866	Szczytna 6	\N	50.012	22.594	Poland	\N	2022-05-03 16:49:59	robert@localhost	2022-05-03 17:49:59	robert@localhost
S12754	Riņņukalns	\N	57.745	25.197	Latvia	within 2 km	2023-10-10 14:31:05	jelena@localhost	2023-10-10 14:31:05	jelena@localhost
S10718	Benzingerode-Heimburg	\N	51.832	10.863	Germany	\N	2022-04-12 12:09:41	robert@localhost	2022-04-12 13:09:41	robert@localhost
S20285	Bovenkarspel-Het Valkje (BVK74)	Noord-Holland Province	52.431	5.133	Netherlands	location: patte2021a	2024-07-02 13:28:10	jelena@localhost	2024-08-07 11:17:25	robert@localhost
S04500	Weiler zum Stein	\N	48.880	9.370	Germany	P (p239-71) records remains in 3 LBK pits excavated in '77; she mentions that samples had to be soaked before sieving; total weight of dry samples = 11702g (pit 4=3749g; pit 14=4818g; pit  16=3135g); total vols examined	\N	\N	\N	\N
S06250	Butterbump	\N	53.228	0.238	Great Britain	\N	\N	\N	\N	\N
S07216	Rockmarshall	\N	54.017	-6.290	Ireland	\N	\N	\N	2023-04-20 14:44:03	Rscripts@localhost
S04787	Hardinxveld-Giessendam Polderweg	\N	51.820	4.850	Netherlands	\N	\N	\N	\N	\N
S03177	Riesbürg "Ofnethöhle"	\N	48.820	10.420	Germany	\N	\N	\N	\N	\N
S13305	Kotare-Krogi	\N	46.659	16.162	Slovenia	\N	2024-05-29 15:47:07	jan@localhost	2024-05-29 15:47:07	jan@localhost
S02960	Meer II, Meirberg	\N	51.433	4.733	Belgium	\N	\N	\N	\N	\N
S08990	Laure-en-Minervois – Metairie Grande	\N	43.650	1.762	France	\N	\N	\N	\N	\N
S01913	Flint scatter and features 1	\N	49.990	-5.219	Great Britain	\N	\N	\N	\N	\N
S12660	Öcsöd-Kovácshalom; Öcsöd-Kovás-halom	Jász-Nagykun-Szolnok county	46.882	20.383	Hungary	location of the village	2023-07-18 12:12:49	jelena@localhost	2023-07-18 12:12:49	jelena@localhost
S11867	Golubaya Krinitsa; Голубая Криница	\N	50.072	39.894	Russia	Given in publication	2023-03-08 17:10:45	robert@localhost	2023-03-22 13:22:50	robert@localhost
S10370	Falköping stad 5	\N	58.166	13.573	Sweden	\N	2022-03-07 13:31:57	sam@localhost	2022-03-07 13:31:57	sam@localhost
S20589	Zalaszentbalázs-Szőlőhegyi mező	\N	46.588	16.919	Hungary	\N	2024-10-02 13:58:09	jan@localhost	2024-10-02 13:58:09	jan@localhost
S02947	Marton-le-Moor	\N	54.126	-1.415	Great Britain	\N	\N	\N	\N	\N
S11089	Balmazújváros-Hortobágy-Árkusmajor-Kettőshalom	\N	47.614	21.343	Hungary	To town (Google Maps); within 4 km	2022-06-23 11:03:12	sam@localhost	2024-11-18 15:00:06	jan@localhost
S06515	Mount Farm	\N	51.667	-1.155	Great Britain	\N	\N	\N	\N	\N
S01314	Blandas grotte des Pins	\N	43.910	3.510	France	\N	\N	\N	\N	\N
S07314	Cadier en Keer	\N	50.828	5.766	Netherlands	\N	\N	\N	\N	\N
S11589	Гірка Полонка; Girka Polonka	Volyn region (Волынская область)	50.675	25.259	Ukraine	Approximate location	2023-02-20 09:33:22	natalya@localhost	2023-02-20 09:33:22	natalya@localhost
S01398	Buoux la Bramonde	\N	43.830	5.380	France	\N	\N	\N	\N	\N
S11626	Jetřichovice u Děčína - Janova zátoka	Děčín	50.898	14.381	Czechia / Czech Republic	\N	2023-02-22 13:49:17	jan@localhost	2023-03-07 14:45:25	jan@localhost
S02906	Mainxe, Montagant II	\N	45.660	-0.180	France	\N	\N	\N	\N	\N
S09103	Öhningen-Orkopf	\N	47.653	8.897	Germany	\N	\N	\N	\N	\N
S21045	Friebritz-Süd	\N	48.633	16.433	Austria	Aproximate location	2025-07-17 11:46:47	yuzhen_li@localhost	2025-07-17 11:46:47	yuzhen_li@localhost
S12100	Carbury Hill	\N	53.357	-6.973	Ireland	\N	2023-04-27 13:45:48	sam@localhost	2023-04-28 07:15:06	Rscripts@localhost
S11125	Sarup; 080209-19	\N	55.207	10.094	Denmark	\N	\N	\N	2024-10-21 14:35:07	alice_revill@localhost
S08109	Pårup	\N	56.099	12.293	Denmark	\N	\N	\N	\N	\N
S09085	Ename Stuw	\N	50.857	3.632	Belgium	\N	\N	\N	\N	\N
S11731	Křenovice 2 – site Vinice	Přerov	49.322	17.282	Czechia / Czech Republic	\N	2023-02-27 14:32:22	jan@localhost	2023-03-07 14:45:25	jan@localhost
S20865	Grotta dell-Edera (Štenašca)	\N	45.757	13.696	Italy	\N	2024-12-03 11:28:43	jelena@localhost	2024-12-03 11:28:43	jelena@localhost
S20548	Méhtelek-Nádas	\N	47.933	22.850	Hungary	\N	2024-09-10 17:07:11	jan@localhost	2024-09-10 17:07:11	jan@localhost
S10106	Hvidegaard; Ke399; 020307-17	\N	55.772	12.532	Denmark	\N	2022-01-18 13:40:41	sam@localhost	2022-01-18 13:40:41	sam@localhost
S11265	Degeberga 26:3	\N	55.839	14.080	Sweden	\N	2022-10-05 14:00:46	jelena@localhost	2022-10-06 11:02:19	jelena@localhost
S09105	Hornstaad-Strandbad	\N	47.691	8.999	Germany	\N	\N	\N	\N	\N
S13299	Pobrežje pri Mariboru	\N	46.546	15.689	Slovenia	\N	2024-05-21 17:55:11	jan@localhost	2024-05-21 17:55:11	jan@localhost
S01019	Abri Loschbour	\N	49.770	6.270	Luxembourg	\N	\N	\N	\N	\N
S12034	Samtavro	Mtskheta-Mtianeti Region	41.846	44.718	Georgia	location of the monastery	2023-04-12 09:45:06	jelena@localhost	2023-04-12 09:45:06	jelena@localhost
S07556	Puch-Scheibenfeld	\N	48.500	16.050	Austria	\N	\N	\N	\N	\N
S10532	Baštine-Obrež; Баштине-Обреж	\N	44.728	19.979	Serbia	\N	2022-03-23 11:54:59	jelena@localhost	2022-03-23 11:54:59	jelena@localhost
S04737	Falkenstein-Schanzboden	\N	48.720	16.580	Austria	\N	\N	\N	\N	\N
S06972	Dogstown	\N	53.369	-7.053	Ireland	\N	\N	\N	\N	\N
S06504	Millstone Hill	\N	55.528	-1.861	Great Britain	\N	\N	\N	\N	\N
S10487	Bochum-Hiltrop "Bergmannsneusiedlung der Zeche Konstantin"	\N	51.515	7.270	Germany	location: bickl2013a	2022-03-14 17:35:51	robert@localhost	2022-03-14 17:35:51	robert@localhost
S06877	Castle Mahon	\N	54.562	-6.047	Ireland	\N	\N	\N	\N	\N
S06318	Culbin Sands	\N	57.639	-3.690	Great Britain	\N	\N	\N	\N	\N
S08837	Soumont-Saint-Quentin « Les Longrais »	\N	48.969	-0.209	France	\N	\N	\N	\N	\N
S08058	Lässmyran 1	\N	59.041	17.971	Sweden	\N	\N	\N	\N	\N
S02696	LE TROU QUI FUME	\N	47.000	4.717	France	\N	\N	\N	\N	\N
S12612	Carcasonne "Le Champ du Poste"	Aude	43.125	2.211	France	\N	2023-06-21 08:36:16	robert@localhost	2023-06-21 08:36:16	robert@localhost
S07737	Narkowo 16	\N	52.716	18.625	Poland	\N	\N	\N	\N	\N
S03167	Occupation material in alluvial sediments	\N	54.313	-3.407	Great Britain	\N	\N	\N	\N	\N
S08904	Troldbjerg	\N	56.218	9.724	Denmark	the site is located to the SW of Gjern in Central Jutland; it was excavated in 2005 by Karen Rysgaard; the Single Grave culture house was discovered during the excavation of an Iron Age settlement; in the house there was a burnt layer which lay directly on top of a stone paving layer; archaeobotany: two samples were taken from this layer (A259, A259/260) and were processed by ?wet-sieving with a mesh size of 0.4mm; no other details are recorded for the sample provenance and for the purpose of db entries I have amalgamated totals (A259 had only a few fragments of acorn and hazelnutshell) - all remains are charred	\N	\N	\N	\N
S20981	Węgrzce 3 (3)	\N	50.121	19.975	Poland	GoogleMaps to village; within 5km	2025-03-21 13:57:27	sam@localhost	2025-03-21 13:57:27	sam@localhost
S11048	Boncuklu	\N	37.760	32.866	Türkiye	\N	2022-06-02 11:47:12	emily@localhost	2022-06-02 12:47:12	emily@localhost
S01089	Anston Stones Cave	\N	53.345	-1.205	Great Britain	\N	\N	\N	\N	\N
